代码,名称,总市值
SZ000416,民生控股,2489158600
SH603889,新澳股份,2492204900
SH600860,*ST京城,2492900000
SH600303,曙光股份,2492979500
SH600785,新华百货,2493225600
SH600113,浙江东日,2493272800
SH603668,天马科技,2493818200
SZ000159,国际实业,2499567200
SZ300023,宝德股份,2500404600
SH600193,ST创兴,2501193200
SH600513,联环药业,2502636300
SZ002593,日上集团,2502962700
SZ300838,浙江力诺,2504565800
SH603909,合诚股份,2506472500
SZ002802,洪汇新材,2508221500
SZ000020,深华发Ａ,2508808500
SZ300499,高澜股份,2510261200
SZ300061,旗天科技,2511588100
SH603399,吉翔股份,2511776400
SZ000880,潍柴重机,2512514600
SZ002981,朝阳科技,2514240000
SZ300093,金刚玻璃,2518560000
SZ300242,佳云科技,2519184200
SZ300670,大烨智能,2523964900
SH603121,华培动力,2527200000
SH600212,江泉实业,2527784200
SH600890,中房股份,2536873800
SZ002855,捷荣技术,2537051500
SZ002486,嘉麟杰,2537600000
SZ002116,中国海诚,2539183900
SZ000565,渝三峡Ａ,2540850400
SH605298,必得科技,2541240000
SH603657,春光科技,2541504000
SZ300746,汉嘉设计,2541813600
SZ300778,新城市,2543000000
SH688028,沃尔德,2544000000
SZ000150,宜华健康,2545322900
SH603398,邦宝益智,2545928300
SZ300218,安利股份,2549597300
SH600130,波导股份,2549760000
SZ300056,中创环保,2551946700
SH600379,宝光股份,2552458100
SZ300809,华辰装备,2553088400
SH600969,郴电国际,2553348300
SH688555,泽达易盛,2553970300
SH600353,旭光电子,2560921200
SH600361,华联综超,2563360500
SZ300886,华业香料,2563545000
SZ002502,*ST鼎龙,2565404000
SZ300839,博汇股份,2568800000
SH603085,天成自控,2569364500
SZ002122,*ST天马,2571716100
SZ002457,青龙管业,2572738600
SZ300097,智云股份,2573863000
SH600576,祥源文化,2576714000
SZ300445,康斯特,2577086800
SH603817,海峡环保,2578531100
SZ300656,民德电子,2579841000
SH688092,N爱科,2579897500
SZ300389,艾比森,2580662900
SZ002296,辉煌科技,2583422100
SZ002908,德生科技,2584227400
SZ300897,山科智能,2587400000
SZ300417,南华仪器,2588088200
SH603607,京华激光,2592063900
SH688557,兰剑智能,2592865600
SZ002780,三夫户外,2593376600
SH688360,德马科技,2594287400
SZ002211,宏达新材,2594854700
SZ002403,爱仕达,2595877100
SZ300472,新元科技,2596889700
SH600470,*ST六化,2597568000
SZ002256,*ST兆新,2597728400
SZ300112,万讯自控,2600305800
SZ300421,力星股份,2600801700
SH600692,亚通股份,2603054100
SZ002536,飞龙股份,2603701400
SH688068,热景生物,2604160800
SH600730,中国高科,2604752600
SZ300706,阿石创,2605075200
SZ003033,征和工业,2606190000
SH603133,碳元科技,2607007000
SH600698,ST天雁,2607804600
SZ300176,派生科技,2610272600
SZ002374,中锐股份,2611089100
SZ300501,海顺新材,2612482400
SZ002235,安妮股份,2613871000
SH688328,深科达,2615160800
SH688228,开普云,2616861500
SZ300380,安硕信息,2618551100
SZ300845,捷安高科,2619216200
SZ000790,华神科技,2619532400
SH600051,宁波联合,2620718400
SH603655,朗博科技,2621380000
SZ300461,田中精机,2623379300
SH603577,汇金通,2626123600
SH603318,派思股份,2630141300
SZ003008,开普检测,2631200000
SH600397,安源煤业,2633293300
SZ300564,筑博设计,2635000000
SH600665,天地源,2635573700
SH600980,北矿科技,2635842400
SZ300488,恒锋工具,2637614200
SH600838,上海九百,2637803400
SZ003025,思进智能,2640007600
SH600853,龙建股份,2642891100
SH600293,三峡新材,2645130700
SZ002751,易尚展示,2648997500
SZ002580,圣阳股份,2650594900
SZ000509,*ST华塑,2650626300
SZ300810,中科海讯,2651403000
SZ300927,江天化学,2651412000
SH603608,天创时尚,2654862900
SZ300923,研奥股份,2656680000
SH688466,金科环境,2660456400
SH600262,北方股份,2660500000
SZ300169,天晟新材,2663292100
SZ002141,贤丰控股,2666442800
SZ300469,信息发展,2666759900
SZ000892,欢瑞世纪,2668266900
SZ300426,唐德影视,2676892400
SH601599,鹿港文化,2678174900
SH603106,恒银科技,2678676000
SZ002198,嘉应制药,2679652000
SZ300610,晨化股份,2681979400
SH605398,新炬网络,2685749100
