ts_code,chairman,manager,secretary,reg_capital,setup_date,province,city
002667.SZ,何凯,李佳黎,周继伟,23113.2,19941013,辽宁,鞍山市
002524.SZ,周永麟,周永麟,朱星毓,51636.822,20011210,新疆,乌鲁木齐市
002707.SZ,冯滨,冯滨,郭镭,90627.1789,19920811,北京,北京市
002852.SZ,刘建军,刘建军,谢细波,28900,19990728,湖南,岳阳市
300297.SZ,柯宗贵,柯宗贵,李根森,124983.5809,19991029,广东,广州市
002967.SZ,黄跃珍,黄敦鹏,欧楚勤,52907.2,20020524,广东,广州市
300622.SZ,ALEXANDER LIU,LOUISA FAN,杨秋,17093.1597,19970423,广东,深圳市
002629.SZ,温志平,陈曦,王晶,41194.8,20060927,浙江,温州市
300620.SZ,Wang Xinglong,Wang Xinglong,吴炜,10851.6677,20001109,广东,珠海市
300397.SZ,贺增林,贺增林,陈桦,47904.9434,20040508,陕西,西安市
300608.SZ,吴飞舟,吴飞舟,咸海丰,15765.2746,19951225,北京,北京市
300288.SZ,王伟,王健,王春,33794.1402,19980924,贵州,贵阳市
300430.SZ,梁凯,梁凯,邱义鹏,27200.8896,20030722,北京,北京市
003038.SZ,唐开健,陈未荣,樊祥勇,10643.754,20130829,安徽,滁州市
300559.SZ,袁斌,寇健,文晶,39953.0242,20021031,四川,成都市
002813.SZ,朱君冰,朱君冰,蒋福财,12000,20060817,广东,深圳市
300340.SZ,万国江,万国江,唐秀雷,21214.472,20000912,广东,江门市
003023.SZ,刘荣富,黄朝万,张浩军,8103.2,19940302,四川,成都市
300363.SZ,居年丰,居年丰,陶荣,54274.7533,20050707,重庆,重庆市
300333.SZ,魏恺言,魏恺言,余凯,33600,20030416,广东,深圳市
002953.SZ,冯就景,李强,孟兆滨,17387.9128,20091217,广东,中山市
003030.SZ,蔡祖明,蔡祖明,高锋,12478,20000218,浙江,杭州市
300405.SZ,姜艳,姜艳,蔡蔓丽,22246.9156,20020321,辽宁,辽阳市
002965.SZ,陈荣,谢祥娃,陈振海,15070,20040520,广东,东莞市
300460.SZ,赵积清,姜健伟,王军,23558.388,20020625,广东,东莞市
002957.SZ,PHUA LEE MING,彭绍东,李单单,41183.74,20010523,广东,深圳市
300668.SZ,姜峰,姜峰,顾承鸣,10540,20041011,广东,深圳市
300604.SZ,赵轶,赵轶,赵游,31379.0502,20080410,浙江,杭州市
300507.SZ,李宏庆,滕飞,方太郎,30626.9712,19931119,江苏,扬州市
300493.SZ,郎晓刚,葛琼,庞军,47706.8962,20001009,上海,上海市
300845.SZ,郑乐观,高志生,牛红勋,9235.6,20020603,河南,郑州市
300550.SZ,杨一兵,戴泽宇,章逸,18992.9258,20101026,浙江,杭州市
300392.SZ,田炳信,田炳信,田炳信,38400,20011206,北京,北京市
300458.SZ,张建辉,李龙生,蔡霄鹏,33100.0757,20070919,广东,珠海市
