code2,名称,总市值
x600232,金鹰股份,1881947700
x300650,太龙照明,1884020600
x300609,汇纳科技,1886139400
x300807,天迈科技,1888293300
x300479,神思电子,1888772900
x002660,茂硕电源,1892861200
x600082,海泰发展,1893119400
x002873,新天药业,1893152800
x002770,ST科迪,1894121300
x000590,启迪药业,1894217700
x000523,广州浪奇,1895150000
x002868,绿康生化,1899181500
x002762,金发拉比,1904654500
x300126,锐奇股份,1905814200
x000605,渤海股份,1907883000
x300240,飞力达,1908221900
x300786,国林科技,1912147200
x603335,迪生力,1913806400
x600191,华资实业,1915481400
x300076,GQY视讯,1916480000
x600962,国投中鲁,1919377200
x002696,百洋股份,1921628000
x603879,永悦科技,1922194900
x002787,华源控股,1930608100
x603656,泰禾智能,1930649300
x300818,耐普矿机,1934100000
x300637,扬帆新材,1936688600
x002864,盘龙药业,1937074500
x300354,东华测试,1942015600
x688379,华光新材,1942160000
x603933,睿能科技,1945925000
x002687,乔治白,1946000000
x600560,金自天正,1947952300
x300052,中青宝,1948192800
x300074,华平股份,1948709100
x300585,奥联电子,1948800000
x300514,友讯达,1954000000
x300547,川环科技,1956493700
x600605,汇通能源,1958209600
x300345,华民股份,1959351900
x600421,ST华嵘,1959912000
x603009,北特科技,1960151800
x603527,众源新材,1960345000
x000548,湖南投资,1961918100
x300268,佳沃股份,1963234000
x002903,宇环数控,1965812600
x002896,中大力德,1968000000
x603838,四通股份,1968098400
x605318,法狮龙,1968568400
x300335,迪森股份,1969112800
x603041,美思德,1969777000
x000637,茂化实华,1970327600
x000673,*ST当代,1970960600
x600265,ST景谷,1971662000
x002778,高科石化,1971993200
x600139,西部资源,1972433700
x002418,*ST康盛,1977336000
x300312,邦讯技术,1977847200
x002370,亚太药业,1979899500
x300605,恒锋信息,1981952600
x603050,科林电气,1985451600
x688118,普元信息,1989090000
x002622,融钰集团,1990800000
x002789,建艺集团,1994678000
x603790,雅运股份,1995884800
x600281,太化股份,2006167900
x300645,正元智慧,2007746600
x600159,大龙地产,2008607800
x600678,四川金顶,2010182400
x300220,金运激光,2013984000
x300688,创业黑马,2014905600
x000701,厦门信达,2018196900
x603168,莎普爱思,2019429000
x600555,*ST海创,2020425000
x603032,德新交运,2020901000
x002808,恒久科技,2021376000
x300517,海波重科,2022457700
x600235,民丰特纸,2023488000
x300694,蠡湖股份,2023979600
x603709,中源家居,2024000000
x300295,三六五网,2026712900
x300789,唐源电气,2026920000
x600654,ST中安,2027173200
x000668,荣丰控股,2027886500
x300430,诚益通,2031906500
x002692,ST远程,2032353200
x300556,丝路视觉,2032740700
x002420,ST毅昌,2033070000
x300698,万马科技,2034120000
x600234,ST山水,2034581100
x600589,广东榕泰,2034656200
x603683,晶华新材,2037339200
x002776,柏堡龙,2038978700
x300643,万通智控,2044000000
x603863,松炀资源,2046586400
x603937,丽岛新材,2057468000
x000533,顺钠股份,2058631700
x603767,中马传动,2060039500
x002492,恒基达鑫,2061450000
x300473,德尔股份,2063002800
x603779,ST威龙,2063044800
x300309,吉艾科技,2064668400
x300615,欣天科技,2064816000
x002599,盛通股份,2065657700
x603266,天龙股份,2066680600
x300515,三德科技,2067738000
x002598,山东章鼓,2071680000
x000506,中润资源,2071709600
x300387,富邦股份,2072569900
x300340,科恒股份,2072653900
x300594,朗进科技,2077677500
x002718,友邦吊顶,2078190200
x002114,罗平锌电,2079431600
x002774,快意电梯,2083246100
x300250,初灵信息,2083304400
x603615,茶花股份,2083566000
x300092,科新机电,2084391000
x000890,*ST胜尔,2084934700
x688679,通源环境,2085964500
x300583,赛托生物,2086062400
x603617,君禾股份,2086353800
